epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3826.72,0.80035,0.42976,0.89142,0.87604,0.80571,0.84683,0.69178,0.74912,0.60423,0.90111,0.00769,0.00769,0.00769
72,3880.58,0.81412,0.43578,0.89736,0.8837,0.80043,0.84808,0.69344,0.74832,0.60129,0.89802,0.007657,0.007657,0.007657
73,3934.15,0.79392,0.42741,0.8888,0.87845,0.80344,0.84783,0.69649,0.74344,0.59337,0.89727,0.007624,0.007624,0.007624
74,3987.66,0.79338,0.42683,0.89296,0.87586,0.80666,0.84911,0.70145,0.73401,0.58658,0.89336,0.007591,0.007591,0.007591
75,4041.45,0.80355,0.43068,0.89209,0.89124,0.79569,0.84732,0.69886,0.7394,0.59099,0.89398,0.007558,0.007558,0.007558
76,4095.14,0.79211,0.42446,0.88543,0.88583,0.79696,0.84874,0.69865,0.74251,0.59482,0.89672,0.007525,0.007525,0.007525
77,4148.74,0.79372,0.42436,0.88871,0.87625,0.80081,0.84778,0.69766,0.7402,0.59881,0.89398,0.007492,0.007492,0.007492
78,4201.82,0.78462,0.41939,0.88688,0.87278,0.80256,0.84349,0.69563,0.74127,0.60202,0.89739,0.007459,0.007459,0.007459
79,4255.68,0.80037,0.43056,0.8939,0.87631,0.80177,0.84522,0.69592,0.7417,0.60101,0.89811,0.007426,0.007426,0.007426
80,4309.18,0.80236,0.42949,0.89055,0.87198,0.80706,0.84518,0.69506,0.74406,0.59559,0.89692,0.007393,0.007393,0.007393
81,4362.83,0.78802,0.42082,0.88675,0.87825,0.79809,0.84482,0.69852,0.74053,0.59878,0.89413,0.00736,0.00736,0.00736
82,4416.41,0.78499,0.42195,0.88885,0.88598,0.79754,0.84661,0.69748,0.7385,0.58798,0.89566,0.007327,0.007327,0.007327
83,4469.76,0.78652,0.41893,0.88614,0.8733,0.81313,0.84907,0.70379,0.73306,0.58853,0.89501,0.007294,0.007294,0.007294
84,4523.28,0.78557,0.41745,0.8882,0.88136,0.80018,0.84543,0.69764,0.7428,0.60284,0.89622,0.007261,0.007261,0.007261
85,4576.7,0.77993,0.41744,0.88865,0.87451,0.79916,0.8471,0.6995,0.739,0.58859,0.89373,0.007228,0.007228,0.007228
86,4630.46,0.78718,0.42065,0.88841,0.88051,0.79973,0.84998,0.69842,0.74205,0.58849,0.89768,0.007195,0.007195,0.007195
87,4683.93,0.78776,0.41886,0.88801,0.85884,0.8151,0.84838,0.70012,0.73878,0.59202,0.89533,0.007162,0.007162,0.007162
88,4737.36,0.76762,0.40894,0.88837,0.8725,0.80198,0.84428,0.69647,0.73639,0.60281,0.90073,0.007129,0.007129,0.007129
89,4790.83,0.782,0.41819,0.88804,0.89215,0.79209,0.8482,0.70058,0.7378,0.59755,0.89743,0.007096,0.007096,0.007096
90,4844.38,0.77429,0.41229,0.88493,0.86561,0.81478,0.84587,0.7022,0.73585,0.5963,0.89476,0.007063,0.007063,0.007063
91,4897.65,0.77315,0.41182,0.88432,0.87482,0.80916,0.84713,0.69945,0.73579,0.5931,0.8941,0.00703,0.00703,0.00703
92,4951.79,0.77934,0.41285,0.88627,0.90229,0.78738,0.84685,0.70241,0.73132,0.59039,0.89388,0.006997,0.006997,0.006997
93,5005.23,0.77536,0.41211,0.88342,0.89834,0.79823,0.85064,0.70501,0.73488,0.59147,0.89498,0.006964,0.006964,0.006964
94,5058.99,0.77664,0.41214,0.88532,0.8872,0.79937,0.84647,0.70106,0.73176,0.59318,0.89531,0.006931,0.006931,0.006931
95,5112.65,0.76852,0.40814,0.88165,0.87811,0.81405,0.8512,0.70301,0.73814,0.59429,0.89875,0.006898,0.006898,0.006898
96,5166,0.77642,0.41139,0.88821,0.86586,0.82347,0.84795,0.70088,0.73897,0.59205,0.89916,0.006865,0.006865,0.006865
97,5219.4,0.77686,0.41133,0.88716,0.87569,0.81091,0.84622,0.70139,0.73556,0.59016,0.89822,0.006832,0.006832,0.006832
98,5272.67,0.76085,0.40454,0.88354,0.86675,0.80645,0.8458,0.6983,0.73466,0.59808,0.89805,0.006799,0.006799,0.006799
99,5326.49,0.76578,0.4072,0.88379,0.88185,0.80363,0.85003,0.70251,0.73563,0.59287,0.8992,0.006766,0.006766,0.006766
100,5380.1,0.76348,0.40507,0.88132,0.87813,0.80965,0.84664,0.70065,0.73621,0.59111,0.89639,0.006733,0.006733,0.006733
101,5433.54,0.75914,0.40163,0.88224,0.88475,0.81105,0.85169,0.70598,0.73372,0.59122,0.8954,0.0067,0.0067,0.0067
102,5487.08,0.75416,0.40043,0.87875,0.88338,0.80484,0.84999,0.70712,0.7259,0.58632,0.89576,0.006667,0.006667,0.006667
103,5540.67,0.75962,0.40198,0.88008,0.88225,0.80593,0.85356,0.70802,0.73026,0.58308,0.89346,0.006634,0.006634,0.006634
104,5594.1,0.75679,0.40148,0.88011,0.869,0.81267,0.85032,0.70488,0.73273,0.59967,0.89411,0.006601,0.006601,0.006601
